index,target
1_1,2.8229143650226525e-10
1_2,2.6057671062399e-10
1_3,3.4743561413057646e-10
1_4,1.9543253298264994e-10
1_5,3.4743561413057646e-10
2_1,4.1257979174911604e-10
2_2,2.6057671062399e-10
2_3,3.2572088825555847e-10
2_4,2.8229143650226525e-10
2_5,2.8229143650226525e-10
3_1,0.8110566111770666
3_2,0.8731594604878873
3_3,0.6972148406966568
3_4,0.8432171572165916
3_5,0.9573102000447092
4_1,1.0586936215336211
4_2,1.039397480631266
4_3,0.9980248588947163
4_4,0.9757600215881888
4_5,1.1740421798414904
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,3.4743561413057646e-10
6_2,2.3886198474462907e-10
6_3,3.2572088825555847e-10
6_4,2.6057671062399e-10
6_5,3.2572088825555847e-10
7_1,0.001582146442015568
7_2,0.05329094608163587
7_3,0.008341447141419723
7_4,0.0014252554664120488
7_5,0.0
8_1,3.040061623794547e-10
8_2,3.9086506587735527e-10
8_3,2.8229143650226525e-10
8_4,3.040061623794547e-10
8_5,2.8229143650226525e-10
9_1,1.9543253298264994e-10
9_2,3.2572088825555847e-10
9_3,3.4743561413057646e-10
9_4,2.8229143650226525e-10
9_5,3.6915034000450873e-10
10_1,2.3886198474462907e-10
10_2,2.1714725886418237e-10
10_3,3.040061623794547e-10
10_4,2.8229143650226525e-10
10_5,2.6057671062399e-10
11_1,3.4743561413057646e-10
11_2,3.040061623794547e-10
11_3,3.4743561413057646e-10
11_4,3.4743561413057646e-10
11_5,3.040061623794547e-10
12_1,5.675139434213296e-07
12_2,3.6915034000450873e-10
12_3,4.8879841181659044e-08
12_4,2.3886198474462907e-10
12_5,3.9086506587735527e-10
13_1,4.1257979174911604e-10
13_2,3.6915034000450873e-10
13_3,3.6915034000450873e-10
13_4,3.9086506587735527e-10
13_5,4.1257979174911604e-10
14_1,3.9086506587735527e-10
14_2,3.9086506587735527e-10
14_3,3.9086506587735527e-10
14_4,3.9086506587735527e-10
14_5,3.9086506587735527e-10
15_1,0.6972150603758414
15_2,0.776322846539908
15_3,0.9011698781685631
15_4,0.9522917669386463
15_5,0.8432173141757361
16_1,0.17159998396817788
16_2,0.3039692037709839
16_3,0.3836766824232703
16_4,0.3868462824631297
16_5,0.2302096814257753
17_1,0.027329242474605924
17_2,5.411134988090632e-05
17_3,0.015821749205250972
17_4,0.0012846151270698688
17_5,0.0010368712960540497
18_1,0.09582669734507084
18_2,0.04333606293989565
18_3,0.043906888000710104
18_4,0.08858000257419044
18_5,0.22253013936668758
19_1,0.2494549599457082
19_2,0.2443012458459998
19_3,0.210101311185752
19_4,0.29091372482270994
19_5,0.30967165029672833
20_1,0.3910738405373155
20_2,0.34711489263625733
20_3,0.3393331312669286
20_4,0.3945412998643605
20_5,0.40815856102378184
21_1,0.4087502764779483
21_2,0.48339629500558895
21_3,4.1257979174911604e-10
21_4,0.31965279324091966
21_5,0.40211300152126167
22_1,3.040061623794547e-10
22_2,0.4218016701870119
22_3,5.233248522673798e-09
22_4,3.6915034000450873e-10
22_5,0.4705573175986778
23_1,0.44898304673688466
23_2,0.42398858239599446
23_3,0.4128379741648084
23_4,0.39631892404793534
23_5,0.3610477554656961
24_1,1.1505605310693432
24_2,1.191262726438072
24_3,0.951317959728613
24_4,1.056202440069949
24_5,1.0742094360310315
